                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.69483,                 0.7152,                 1.1568,                0.91196,                 0.8043,                0.88649,                0.71604,                0.71658,                0.65519,                 1.2938,               0.007525,               0.007525,               0.007525
                     52,                0.68142,                0.71106,                 1.1457,                0.89665,                0.81654,                0.89191,                0.72023,                0.72526,                0.63125,                 1.3208,              0.0074755,              0.0074755,              0.0074755
                     53,                0.67612,                0.70881,                 1.1405,                0.91953,                0.79412,                0.88692,                0.71916,                0.71227,                0.64505,                 1.2974,               0.007426,               0.007426,               0.007426
                     54,                0.68404,                0.69613,                 1.1472,                0.90748,                0.83059,                0.89302,                0.71915,                0.72017,                0.63352,                 1.3221,              0.0073765,              0.0073765,              0.0073765
                     55,                0.66725,                 0.6957,                 1.1409,                0.91747,                0.83704,                0.89602,                0.72387,                0.69483,                0.62591,                 1.2894,               0.007327,               0.007327,               0.007327
                     56,                0.66923,                0.70036,                 1.1393,                0.89754,                0.82449,                0.88889,                0.72103,                0.70027,                0.65286,                 1.2806,              0.0072775,              0.0072775,              0.0072775
                     57,                0.67266,                 0.7059,                 1.1369,                0.90448,                0.83059,                0.89654,                0.72708,                0.71593,                0.64437,                 1.2929,               0.007228,               0.007228,               0.007228
                     58,                0.66059,                0.69583,                 1.1329,                0.88093,                0.83559,                0.89105,                0.71596,                  0.742,                0.64214,                  1.339,              0.0071785,              0.0071785,              0.0071785
                     59,                0.66314,                0.67081,                 1.1338,                0.92443,                0.82941,                0.89179,                0.73181,                 0.6946,                0.59396,                 1.3074,               0.007129,               0.007129,               0.007129
                     60,                 0.6716,                0.69343,                 1.1432,                0.90736,                0.84114,                0.89883,                0.72997,                0.69177,                0.61626,                 1.2741,              0.0070795,              0.0070795,              0.0070795
                     61,                0.65034,                0.67136,                 1.1247,                0.91986,                0.82824,                0.89867,                0.73734,                0.70079,                0.60543,                 1.3012,                0.00703,                0.00703,                0.00703
                     62,                0.64899,                0.67759,                 1.1207,                0.92883,                0.82471,                0.90251,                0.73695,                0.69909,                0.59794,                 1.2842,              0.0069805,              0.0069805,              0.0069805
                     63,                0.65584,                0.66819,                 1.1245,                0.92733,                0.82353,                0.89943,                0.73413,                0.69385,                0.63519,                  1.283,               0.006931,               0.006931,               0.006931
                     64,                0.64181,                0.68241,                  1.119,                0.89056,                0.84249,                0.89461,                0.73719,                0.69102,                0.64119,                 1.2729,              0.0068815,              0.0068815,              0.0068815
                     65,                0.64479,                0.67621,                 1.1256,                0.90465,                0.82595,                0.89736,                0.74172,                0.67907,                0.60971,                 1.2602,               0.006832,               0.006832,               0.006832
                     66,                 0.6447,                0.67117,                 1.1216,                0.89734,                0.84588,                0.89882,                0.73876,                0.68443,                0.58712,                 1.2754,              0.0067825,              0.0067825,              0.0067825
                     67,                0.63754,                0.67962,                 1.1167,                 0.8966,                0.83655,                0.89856,                0.73753,                0.68448,                0.60634,                 1.2877,               0.006733,               0.006733,               0.006733
                     68,                 0.6336,                0.65752,                 1.1164,                0.89632,                0.84415,                0.89747,                0.73667,                0.69016,                 0.5991,                 1.2714,              0.0066835,              0.0066835,              0.0066835
                     69,                0.65077,                0.65851,                 1.1227,                0.93606,                0.83294,                0.90253,                0.74221,                0.68592,                0.58422,                 1.2796,               0.006634,               0.006634,               0.006634
